series_id,series_name,year,annual_average,n_readings,expected_readings,complete
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2000,179.5,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2001,185.883,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2002,189.5,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2003,192.4,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2004,194.883,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2005,200.467,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2006,207.983,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2007,216.059,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2008,224.872,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2009,226.154,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2010,226.746,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2011,233.097,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2012,238.796,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2013,241.692,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2014,246.186,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2015,249.594,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2016,255.254,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2017,263.109,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2018,271.41,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2019,278.182,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2020,282.746,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2021,296.875,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2022,323.453,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2023,341.772,6,6,True
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2024,353.892,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2000,174.883,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2001,180.933,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2002,184.183,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2003,186.7,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2004,189.8,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2005,195.567,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2006,202.933,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2007,210.672,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2008,219.795,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2009,220.845,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2010,222.465,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2011,229.788,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2012,235.399,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2013,238.273,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2014,242.846,6,6,True
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2015,245.13,6,6,True
