series_id,series_name,year,base_year,annual_average_cpi,yoy_inflation,yoy_inflation_pct,cumulative_inflation,cumulative_inflation_pct
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2000,2000,179.5,,,0.0,0.0
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2001,2000,185.883,0.03556,3.56,0.03556,3.56
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2002,2000,189.5,0.01946,1.95,0.05571,5.57
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2003,2000,192.4,0.0153,1.53,0.07187,7.19
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2004,2000,194.883,0.01291,1.29,0.0857,8.57
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2005,2000,200.467,0.02865,2.87,0.11681,11.68
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2006,2000,207.983,0.03749,3.75,0.15868,15.87
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2007,2000,216.059,0.03883,3.88,0.20367,20.37
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2008,2000,224.872,0.04079,4.08,0.25277,25.28
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2009,2000,226.154,0.0057,0.57,0.25991,25.99
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2010,2000,226.746,0.00262,0.26,0.26321,26.32
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2011,2000,233.097,0.02801,2.8,0.29859,29.86
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2012,2000,238.796,0.02445,2.44,0.33034,33.03
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2013,2000,241.692,0.01213,1.21,0.34647,34.65
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2014,2000,246.186,0.01859,1.86,0.37151,37.15
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2015,2000,249.594,0.01384,1.38,0.3905,39.05
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2016,2000,255.254,0.02268,2.27,0.42203,42.2
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2017,2000,263.109,0.03077,3.08,0.46579,46.58
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2018,2000,271.41,0.03155,3.15,0.51203,51.2
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2019,2000,278.182,0.02495,2.5,0.54976,54.98
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2020,2000,282.746,0.01641,1.64,0.57519,57.52
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2021,2000,296.875,0.04997,5.0,0.6539,65.39
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2022,2000,323.453,0.08953,8.95,0.80197,80.2
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2023,2000,341.772,0.05664,5.66,0.90402,90.4
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2024,2000,353.892,0.03546,3.55,0.97154,97.15
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2000,2020,179.5,,,-0.36515,-36.52
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2001,2020,185.883,0.03556,3.56,-0.34258,-34.26
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2002,2020,189.5,0.01946,1.95,-0.32979,-32.98
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2003,2020,192.4,0.0153,1.53,-0.31953,-31.95
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2004,2020,194.883,0.01291,1.29,-0.31075,-31.07
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2005,2020,200.467,0.02865,2.87,-0.291,-29.1
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2006,2020,207.983,0.03749,3.75,-0.26442,-26.44
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2007,2020,216.059,0.03883,3.88,-0.23585,-23.59
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2008,2020,224.872,0.04079,4.08,-0.20469,-20.47
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2009,2020,226.154,0.0057,0.57,-0.20015,-20.02
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2010,2020,226.746,0.00262,0.26,-0.19806,-19.81
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2011,2020,233.097,0.02801,2.8,-0.1756,-17.56
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2012,2020,238.796,0.02445,2.44,-0.15544,-15.54
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2013,2020,241.692,0.01213,1.21,-0.1452,-14.52
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2014,2020,246.186,0.01859,1.86,-0.1293,-12.93
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2015,2020,249.594,0.01384,1.38,-0.11725,-11.73
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2016,2020,255.254,0.02268,2.27,-0.09723,-9.72
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2017,2020,263.109,0.03077,3.08,-0.06945,-6.95
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2018,2020,271.41,0.03155,3.15,-0.04009,-4.01
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2019,2020,278.182,0.02495,2.5,-0.01614,-1.61
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2020,2020,282.746,0.01641,1.64,0.0,0.0
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2021,2020,296.875,0.04997,5.0,0.04997,5.0
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2022,2020,323.453,0.08953,8.95,0.14397,14.4
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2023,2020,341.772,0.05664,5.66,0.20876,20.88
CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2024,2020,353.892,0.03546,3.55,0.25163,25.16
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2000,2000,174.883,,,0.0,0.0
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2001,2000,180.933,0.03459,3.46,0.03459,3.46
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2002,2000,184.183,0.01796,1.8,0.05318,5.32
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2003,2000,186.7,0.01367,1.37,0.06757,6.76
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2004,2000,189.8,0.0166,1.66,0.0853,8.53
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2005,2000,195.567,0.03038,3.04,0.11827,11.83
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2006,2000,202.933,0.03766,3.77,0.16039,16.04
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2007,2000,210.672,0.03814,3.81,0.20465,20.46
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2008,2000,219.795,0.0433,4.33,0.25681,25.68
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2009,2000,220.845,0.00478,0.48,0.26282,26.28
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2010,2000,222.465,0.00734,0.73,0.27208,27.21
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2011,2000,229.788,0.03292,3.29,0.31395,31.4
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2012,2000,235.399,0.02442,2.44,0.34604,34.6
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2013,2000,238.273,0.01221,1.22,0.36247,36.25
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2014,2000,242.846,0.01919,1.92,0.38862,38.86
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2015,2000,245.13,0.00941,0.94,0.40168,40.17
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2016,2000,250.838,0.02329,2.33,0.43432,43.43
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2017,2000,259.306,0.03376,3.38,0.48274,48.27
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2018,2000,267.85,0.03295,3.29,0.5316,53.16
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2019,2000,273.459,0.02094,2.09,0.56367,56.37
CWURS49DSA0,CPI-W Seattle-Tacoma-Bellevue,2020,2000,278.557,0.01864,1.86,0.59282,59.28
