gwi_series_id,gwi_series_name,cpi_series_id,cpi_series_name,year,base_year,wage_index,price_index,real_wage_index,yoy_real_change_pct,cumulative_real_change_pct,price_index_cpiw,real_wage_index_cpiw
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2000,2000,100.0,100.0,100.0,,0.0,100.0,100.0
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2001,2000,103.7,103.556,100.139,0.14,0.14,103.459,100.233
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2002,2000,103.7,105.571,98.228,-1.91,-1.77,105.318,98.464
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2003,2000,103.7,107.187,96.747,-1.51,-3.25,106.757,97.136
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2004,2000,103.7,108.57,95.514,-1.27,-4.49,108.53,95.55
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2005,2000,107.018,111.681,95.825,0.33,-4.17,111.827,95.7
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2006,2000,108.731,115.868,93.84,-2.07,-6.16,116.039,93.702
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2007,2000,112.21,120.367,93.223,-0.66,-6.78,120.465,93.147
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2008,2000,114.454,125.277,91.361,-2.0,-8.64,125.681,91.067
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2009,2000,114.454,125.991,90.843,-0.57,-9.16,126.282,90.634
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2010,2000,114.454,126.321,90.606,-0.26,-9.39,127.208,89.974
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2011,2000,111.021,129.859,85.493,-5.64,-14.51,131.395,84.494
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2012,2000,111.021,133.034,83.453,-2.39,-16.55,134.604,82.48
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2013,2000,114.351,134.647,84.927,1.77,-15.07,136.247,83.929
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2014,2000,114.351,137.151,83.376,-1.83,-16.62,138.862,82.349
GWI_WFSE_GG,WFSE GG General Wage Increases (Topped-Out),CUURS49DSA0,CPI-U Seattle-Tacoma-Bellevue,2015,2000,117.782,139.05,84.705,1.59,-15.3,140.168,84.029
