series_id,year,period,period_name,value
CUURS49DSA0,2009,M12,December,225.596
CUURS49DSA0,2009,M10,October,226.277
CUURS49DSA0,2009,M08,August,227.138
CUURS49DSA0,2009,M06,June,227.257
CUURS49DSA0,2009,M04,April,225.918
CUURS49DSA0,2009,M02,February,224.737
CUURS49DSA0,2008,M12,December,222.58
CUURS49DSA0,2008,M10,October,225.915
CUURS49DSA0,2008,M08,August,227.745
CUURS49DSA0,2008,M06,June,228.068
CUURS49DSA0,2008,M04,April,223.196
CUURS49DSA0,2008,M02,February,221.728
CUURS49DSA0,2007,M12,December,218.966
CUURS49DSA0,2007,M10,October,218.427
CUURS49DSA0,2007,M08,August,215.978
CUURS49DSA0,2007,M06,June,215.51
CUURS49DSA0,2007,M04,April,215.767
CUURS49DSA0,2007,M02,February,211.704
CUURS49DSA0,2006,M12,December,209.3
CUURS49DSA0,2006,M10,October,209.8
CUURS49DSA0,2006,M08,August,209.6
CUURS49DSA0,2006,M06,June,208.2
CUURS49DSA0,2006,M04,April,207.4
CUURS49DSA0,2006,M02,February,203.6
CUURS49DSA0,2005,M12,December,200.9
CUURS49DSA0,2005,M10,October,203.3
CUURS49DSA0,2005,M08,August,199.9
CUURS49DSA0,2005,M06,June,199.8
CUURS49DSA0,2005,M04,April,201.3
CUURS49DSA0,2005,M02,February,197.6
CUURS49DSA0,2004,M12,December,195.1
CUURS49DSA0,2004,M10,October,196.5
CUURS49DSA0,2004,M08,August,194.6
CUURS49DSA0,2004,M06,June,195.3
CUURS49DSA0,2004,M04,April,194.3
CUURS49DSA0,2004,M02,February,193.5
CUURS49DSA0,2003,M12,December,191.0
CUURS49DSA0,2003,M10,October,193.7
CUURS49DSA0,2003,M08,August,194.4
CUURS49DSA0,2003,M06,June,191.7
CUURS49DSA0,2003,M04,April,192.3
CUURS49DSA0,2003,M02,February,191.3
CUURS49DSA0,2002,M12,December,190.0
CUURS49DSA0,2002,M10,October,190.9
CUURS49DSA0,2002,M08,August,190.3
CUURS49DSA0,2002,M06,June,189.4
CUURS49DSA0,2002,M04,April,188.8
CUURS49DSA0,2002,M02,February,187.6
CUURS49DSA0,2001,M12,December,186.1
CUURS49DSA0,2001,M10,October,187.9
CUURS49DSA0,2001,M08,August,186.8
CUURS49DSA0,2001,M06,June,186.3
CUURS49DSA0,2001,M04,April,184.2
CUURS49DSA0,2001,M02,February,184.0
CUURS49DSA0,2000,M12,December,181.5
CUURS49DSA0,2000,M10,October,182.1
CUURS49DSA0,2000,M08,August,180.3
CUURS49DSA0,2000,M06,June,179.2
CUURS49DSA0,2000,M04,April,177.8
CUURS49DSA0,2000,M02,February,176.1
CWURS49DSA0,2009,M12,December,220.905
CWURS49DSA0,2009,M10,October,221.339
CWURS49DSA0,2009,M08,August,221.873
CWURS49DSA0,2009,M06,June,221.993
CWURS49DSA0,2009,M04,April,220.208
CWURS49DSA0,2009,M02,February,218.752
CWURS49DSA0,2008,M12,December,216.424
CWURS49DSA0,2008,M10,October,220.687
CWURS49DSA0,2008,M08,August,223.273
CWURS49DSA0,2008,M06,June,223.573
CWURS49DSA0,2008,M04,April,218.483
CWURS49DSA0,2008,M02,February,216.332
CWURS49DSA0,2007,M12,December,214.024
CWURS49DSA0,2007,M10,October,213.107
CWURS49DSA0,2007,M08,August,210.22
CWURS49DSA0,2007,M06,June,210.55
CWURS49DSA0,2007,M04,April,210.388
CWURS49DSA0,2007,M02,February,205.746
CWURS49DSA0,2006,M12,December,204.3
CWURS49DSA0,2006,M10,October,203.9
CWURS49DSA0,2006,M08,August,205.1
CWURS49DSA0,2006,M06,June,203.8
CWURS49DSA0,2006,M04,April,202.5
CWURS49DSA0,2006,M02,February,198.0
CWURS49DSA0,2005,M12,December,196.1
CWURS49DSA0,2005,M10,October,198.6
CWURS49DSA0,2005,M08,August,195.3
CWURS49DSA0,2005,M06,June,194.8
CWURS49DSA0,2005,M04,April,196.2
CWURS49DSA0,2005,M02,February,192.4
CWURS49DSA0,2004,M12,December,190.3
CWURS49DSA0,2004,M10,October,191.6
CWURS49DSA0,2004,M08,August,189.6
CWURS49DSA0,2004,M06,June,190.4
CWURS49DSA0,2004,M04,April,189.1
CWURS49DSA0,2004,M02,February,187.8
CWURS49DSA0,2003,M12,December,185.3
CWURS49DSA0,2003,M10,October,187.8
CWURS49DSA0,2003,M08,August,188.2
CWURS49DSA0,2003,M06,June,185.7
CWURS49DSA0,2003,M04,April,187.0
CWURS49DSA0,2003,M02,February,186.2
CWURS49DSA0,2002,M12,December,184.6
CWURS49DSA0,2002,M10,October,185.5
CWURS49DSA0,2002,M08,August,184.8
CWURS49DSA0,2002,M06,June,184.1
CWURS49DSA0,2002,M04,April,183.6
CWURS49DSA0,2002,M02,February,182.5
CWURS49DSA0,2001,M12,December,181.1
CWURS49DSA0,2001,M10,October,183.1
CWURS49DSA0,2001,M08,August,181.5
CWURS49DSA0,2001,M06,June,181.3
CWURS49DSA0,2001,M04,April,179.4
CWURS49DSA0,2001,M02,February,179.2
CWURS49DSA0,2000,M12,December,177.0
CWURS49DSA0,2000,M10,October,177.5
CWURS49DSA0,2000,M08,August,175.4
CWURS49DSA0,2000,M06,June,174.5
CWURS49DSA0,2000,M04,April,173.3
CWURS49DSA0,2000,M02,February,171.6
CUUR0000SA0,2009,M12,December,215.949
CUUR0000SA0,2009,M11,November,216.33
CUUR0000SA0,2009,M10,October,216.177
CUUR0000SA0,2009,M09,September,215.969
CUUR0000SA0,2009,M08,August,215.834
CUUR0000SA0,2009,M07,July,215.351
CUUR0000SA0,2009,M06,June,215.693
CUUR0000SA0,2009,M05,May,213.856
CUUR0000SA0,2009,M04,April,213.24
CUUR0000SA0,2009,M03,March,212.709
CUUR0000SA0,2009,M02,February,212.193
CUUR0000SA0,2009,M01,January,211.143
CUUR0000SA0,2008,M12,December,210.228
CUUR0000SA0,2008,M11,November,212.425
CUUR0000SA0,2008,M10,October,216.573
CUUR0000SA0,2008,M09,September,218.783
CUUR0000SA0,2008,M08,August,219.086
CUUR0000SA0,2008,M07,July,219.964
CUUR0000SA0,2008,M06,June,218.815
CUUR0000SA0,2008,M05,May,216.632
CUUR0000SA0,2008,M04,April,214.823
CUUR0000SA0,2008,M03,March,213.528
CUUR0000SA0,2008,M02,February,211.693
CUUR0000SA0,2008,M01,January,211.08
CUUR0000SA0,2007,M12,December,210.036
CUUR0000SA0,2007,M11,November,210.177
CUUR0000SA0,2007,M10,October,208.936
CUUR0000SA0,2007,M09,September,208.49
CUUR0000SA0,2007,M08,August,207.917
CUUR0000SA0,2007,M07,July,208.299
CUUR0000SA0,2007,M06,June,208.352
CUUR0000SA0,2007,M05,May,207.949
CUUR0000SA0,2007,M04,April,206.686
CUUR0000SA0,2007,M03,March,205.352
CUUR0000SA0,2007,M02,February,203.499
CUUR0000SA0,2007,M01,January,202.416
CUUR0000SA0,2006,M12,December,201.8
CUUR0000SA0,2006,M11,November,201.5
CUUR0000SA0,2006,M10,October,201.8
CUUR0000SA0,2006,M09,September,202.9
CUUR0000SA0,2006,M08,August,203.9
CUUR0000SA0,2006,M07,July,203.5
CUUR0000SA0,2006,M06,June,202.9
CUUR0000SA0,2006,M05,May,202.5
CUUR0000SA0,2006,M04,April,201.5
CUUR0000SA0,2006,M03,March,199.8
CUUR0000SA0,2006,M02,February,198.7
CUUR0000SA0,2006,M01,January,198.3
CUUR0000SA0,2005,M12,December,196.8
CUUR0000SA0,2005,M11,November,197.6
CUUR0000SA0,2005,M10,October,199.2
CUUR0000SA0,2005,M09,September,198.8
CUUR0000SA0,2005,M08,August,196.4
CUUR0000SA0,2005,M07,July,195.4
CUUR0000SA0,2005,M06,June,194.5
CUUR0000SA0,2005,M05,May,194.4
CUUR0000SA0,2005,M04,April,194.6
CUUR0000SA0,2005,M03,March,193.3
CUUR0000SA0,2005,M02,February,191.8
CUUR0000SA0,2005,M01,January,190.7
CUUR0000SA0,2004,M12,December,190.3
CUUR0000SA0,2004,M11,November,191.0
CUUR0000SA0,2004,M10,October,190.9
CUUR0000SA0,2004,M09,September,189.9
CUUR0000SA0,2004,M08,August,189.5
CUUR0000SA0,2004,M07,July,189.4
CUUR0000SA0,2004,M06,June,189.7
CUUR0000SA0,2004,M05,May,189.1
CUUR0000SA0,2004,M04,April,188.0
CUUR0000SA0,2004,M03,March,187.4
CUUR0000SA0,2004,M02,February,186.2
CUUR0000SA0,2004,M01,January,185.2
CUUR0000SA0,2003,M12,December,184.3
CUUR0000SA0,2003,M11,November,184.5
CUUR0000SA0,2003,M10,October,185.0
CUUR0000SA0,2003,M09,September,185.2
CUUR0000SA0,2003,M08,August,184.6
CUUR0000SA0,2003,M07,July,183.9
CUUR0000SA0,2003,M06,June,183.7
CUUR0000SA0,2003,M05,May,183.5
CUUR0000SA0,2003,M04,April,183.8
CUUR0000SA0,2003,M03,March,184.2
CUUR0000SA0,2003,M02,February,183.1
CUUR0000SA0,2003,M01,January,181.7
CUUR0000SA0,2002,M12,December,180.9
CUUR0000SA0,2002,M11,November,181.3
